CZSESSID;0chouhc5ipsh2012ir22his6u1;demo.avactis.com;/;Sun Oct 15 18:46:36 IST 2017;false
_gat;1;.avactis.com;/;Fri Sep 15 18:47:20 IST 2017;false
_ga;GA1.2.1795628580.1505481381;.avactis.com;/;Sun Sep 15 18:46:36 IST 2019;false
avactis_visitor_id;4ade7a2c96097dc2840a0f6c0a86119f;demo.avactis.com;/;Thu Dec 14 18:46:36 IST 2017;false
save_session;save;demo.avactis.com;/;Sat Sep 16 18:46:32 IST 2017;false
_gid;GA1.2.1302408536.1505481381;.avactis.com;/;Sat Sep 16 18:46:36 IST 2017;false
